"question","options","answer"
"学生一学期申请免听的课程数一般不得超过（）门。","一 | 二 | 三 | 四","二"
"学生对学校的处理或者处分决定有异议的，可以在接到处理或者处分决定书之日起（）日内提出书面申诉。","5 | 7 | 10 | 15","10"
"学生请病假三天及三天以内的，由（）批准。","辅导员 | 分管院领导 | 院长 | 教务处","辅导员"
"一学期累计旷课达40学时以上者，给予（）处分。","严重警告 | 记过 | 留校察看 | 开除学籍","留校察看"
"学生入学后，学校应当在（）个月内按照国家招生规定开展新生复查。","1 | 2 | 3 | 6","2"
"毕业时体质健康测试成绩低于（）分，按结业处理（病残除外）","50 | 60 | 70 | 80","50"
"辅修专业总学分控制在（）学分","30‑35 | 35‑40 | 42‑45 | 48‑52","42‑45"
"学生在校期间依法享有的权利包含（）。","参加学校教育教学计划安排的各项活动，使用学校教育教学资源 | 申请奖学金、助学金及助学贷款 | 对学校处理处分有异议可以提出申诉 | 可以不遵守学校部分规章制度","参加学校教育教学计划安排的各项活动，使用学校教育教学资源 | 申请奖学金、助学金及助学贷款 | 对学校处理处分有异议可以提出申诉"
"学生有下列哪些情形之一的，不得转学？()","高考成绩低于拟转入学校相关专业同一生源地相应年份录取成绩的 | 由低学历层次转为高学历层次的 | 入学未满一学期或者毕业前一年的 | 因患病不适应本校学习要求的","高考成绩低于拟转入学校相关专业同一生源地相应年份录取成绩的 | 由低学历层次转为高学历层次的 | 入学未满一学期或者毕业前一年的"
"根据《普通高等学校学生管理规定》，学生在校期间依法享有哪些权利？","参加学校教育教学计划安排的各项活动 | 申请奖学金、助学金及助学贷款 | 对学校给予的处理或者处分有异议，向学校提出申诉 | 按规定缴纳学费及有关费用","参加学校教育教学计划安排的各项活动 | 申请奖学金、助学金及助学贷款 | 对学校给予的处理或者处分有异议，向学校提出申诉"
"根据《福州大学学生管理规定》，学生有下列哪些行为，视情节给予严重警告至记过处分？","酗酒（醉酒）造成不良影响 | 酒后滋事 | 在学生宿舍及其它禁烟区吸烟，经批评教育不改 | 吸毒","酗酒（醉酒）造成不良影响 | 酒后滋事 | 在学生宿舍及其它禁烟区吸烟，经批评教育不改"
"根据《福州大学学生管理规定》，关于学生纪律处分的权限和程序，以下说法正确的有()。","警告、严重警告、记过处分由学院查证后报学生工作部（处）审批 | 留校察看处分由校学生违纪处分委员会审理决定 | 开除学籍处分需提交校长办公会或者校长授权的专门会议研究决定 | 所有处分决定均需事先进行合法性审查","警告、严重警告、记过处分由学院查证后报学生工作部（处）审批 | 留校察看处分由校学生违纪处分委员会审理决定 | 开除学籍处分需提交校长办公会或者校长授权的专门会议研究决定"
"根据《普通高等学校学生管理规定》，学校对学生予以表彰和奖励，以及确定推荐免试研究生、国家奖学金、公派出国留学人选等，应当()。","建立公开、公平、公正的程序和规定 | 建立和完善相应的选拔、公示等制度 | 可以不公示 | 由学校领导直接决定","建立公开、公平、公正的程序和规定 | 建立和完善相应的选拔、公示等制度"
"有下列哪些严重作弊或扰乱考试秩序行为的，学校可以给予开除学籍处分？","代替他人或者让他人代替自己参加考试 | 组织作弊 | 使用通讯设备或其他器材作弊 | 向他人出售考试试题或答案牟取利益","代替他人或者让他人代替自己参加考试 | 使用通讯设备或其他器材作弊 | 向他人出售考试试题或答案牟取利益 | 组织作弊"
"学生可以在以下哪些学期末申请转专业？","第一学期末 | 第三学期末 | 第五学期末 | 第六学期末","第一学期末 | 第三学期末 | 第五学期末"
"学生有下列哪些情形之一，不得转学？","入学未满一学期或者毕业前一年的 | 高考成绩低于拟转入学校相关专业同一生源地相应年份录取成绩的 | 由低学历层次转为高学历层次的 | 以定向就业录取的","入学未满一学期或者毕业前一年的 | 高考成绩低于拟转入学校相关专业同一生源地相应年份录取成绩的 | 由低学历层次转为高学历层次的 | 以定向就业录取的"
"根据《普通高等学校学生管理规定》，学生在校期间依法享有下列哪些权利？","参加学校教育教学计划安排的各项活动，使用学校提供的教育教学资源 | 参加社会实践、志愿服务、勤工助学、文娱体育及科技文化创新等活动 | 申请奖学金、助学金及助学贷款 | 在思想品德、学业成绩等方面获得科学、公正评价，完成学校规定学业后获得相应的学历证书、学位证书 | 在校内组织、参加学生团体，以适当方式参与学校管理 | 遵守学校章程和规章制度","参加学校教育教学计划安排的各项活动，使用学校提供的教育教学资源 | 参加社会实践、志愿服务、勤工助学、文娱体育及科技文化创新等活动 | 申请奖学金、助学金及助学贷款 | 在思想品德、学业成绩等方面获得科学、公正评价，完成学校规定学业后获得相应的学历证书、学位证书 | 在校内组织、参加学生团体，以适当方式参与学校管理"
"根据《普通高等学校学生管理规定》，学生在校期间依法履行下列哪些义务？","遵守宪法和法律、法规 | 遵守学校章程和规章制度 | 恪守学术道德，完成规定学业 | 按规定缴纳学费及有关费用 | 遵守学生行为规范，尊敬师长，养成良好的思想品德和行为习惯 | 对学校给予的处理或者处分有异议时提出申诉","遵守宪法和法律、法规 | 遵守学校章程和规章制度 | 恪守学术道德，完成规定学业 | 按规定缴纳学费及有关费用 | 遵守学生行为规范，尊敬师长，养成良好的思想品德和行为习惯"
"学生违反学校关于学生宿舍管理的有关规定，视其情节轻重，给予下列哪些处分？","未经批准，随便调换、私自占用学生宿舍或出租床位，经批评教育不改者 | 未经批准擅自留宿非本宿舍成员，经批评教育不改者 | 宿舍内使用明火、违规电器，私拉电线者 | 住宿生未经批准，私自在校外租房住者 | 在学生宿舍内饲养宠物，经劝阻无效者 | 按时熄灯就寝的","未经批准，随便调换、私自占用学生宿舍或出租床位，经批评教育不改者 | 未经批准擅自留宿非本宿舍成员，经批评教育不改者 | 宿舍内使用明火、违规电器，私拉电线者 | 住宿生未经批准，私自在校外租房住者 | 在学生宿舍内饲养宠物，经劝阻无效者"
"根据《福州大学本科生转学管理实施办法（暂行）》，学生有下列哪些情形之一，不得转学？","入学未满一学期或者毕业前一年的 | 高考成绩低于拟转入学校相关专业同一生源地相应年份录取成绩的 | 由低学历层次转为高学历层次的 | 以定向就业录取的 | 无正当转学理由的 | 因患病或者有特殊困难需要转学的","入学未满一学期或者毕业前一年的 | 高考成绩低于拟转入学校相关专业同一生源地相应年份录取成绩的 | 由低学历层次转为高学历层次的 | 以定向就业录取的 | 无正当转学理由的"
"学生违法、违纪，有下列哪些情形之一，从重或者加重处分（）。","违法、违纪行为的主要责任人或组织者 | 强迫、唆使他人违法、违纪的 | 串供、抵赖或者伪造、销毁、隐匿证据的 | 包庇同案人员或者打击报复检举人","违法、违纪行为的主要责任人或组织者 | 强迫、唆使他人违法、违纪的 | 串供、抵赖或者伪造、销毁、隐匿证据的 | 包庇同案人员或者打击报复检举人"
"学生符合下列条件的，可授予学士学位（）。","拥护中国共产党的领导，拥护社会主义制度，遵守宪法和法律 | 在本学科或者专业领域较好地掌握基础理论、专门知识和基本技能 | 在允许的修业年限内，完成本专业培养方案规定的各项要求，经审核准予毕业 | 在校期间从未受到过批评教育","拥护中国共产党的领导，拥护社会主义制度，遵守宪法和法律 | 在本学科或者专业领域较好地掌握基础理论、专门知识和基本技能 | 在允许的修业年限内，完成本专业培养方案规定的各项要求，经审核准予毕业"
"考试违纪，携带手机进入考场，无论是否开机，学校可以给予哪些处分（）","记过 | 警告 | 严重警告 | 开除学籍","严重警告 | 警告 | 记过"
"福州大学“三种精神”中，以卢嘉锡先生为代表的是艰苦奋斗的创业精神。","对 | 错","错"
"福州大学学生累计休学时间不得超过2年。","对 | 错","对"
"组织作弊的，给予开除学籍处分。","对 | 错","对"
"在学生宿舍内饲养宠物，经劝阻无效的，给予警告处分。","对 | 错","对"
"根据《福州大学学生安全管理规定》，因工作需要组织学生班级会餐的，一律不得饮酒。","对 | 错","对"
"学生可以私自调换宿舍床位。","对 | 错","错"
"学生在宿舍内饲养宠物，经劝阻无效者，给予警告处分。","对 | 错","对"
"每学期开学时，学生因故不能如期办理注册手续者，应当履行书面请假手续。","对 | 错","对"
"休学期间如有严重违法乱纪行为者，学校取消其复学资格，予以退学。","对 | 错","对"
"学校执行高等教育学籍学历电子注册管理制度，按相关规定及时完成学生学籍学历电子注册。","对 | 错","对"
"学生一学期内请事假时间累计超过一个月的，无特殊原因按休学处理。","对 | 错","对"
"四年制本科学生最长修业年限为六年。","对 | 错","对"
"被开除学籍的学生，其学年的住宿费不予清退。","对 | 错","对"
"学位申请人对学术评价结论有异议申请学术复核的，复核决定不是最终决定，可继续申诉。","对 | 错","错"
"各类学制学生在校最长修业年限（以下简称修业年限）分别为：四年制本科学生为六年，五年制本科学生为七年，二年制第二学士学位学生为一年。","对 | 错","错"
"转专业每学年办理一次，学生在学期间只能转一次专业。","对 | 错","对"
"学生可以将电动车电池带入公寓楼内充电。","对 | 错","错"
"学生参加创新创业、社会实践成果，按学校规定可以折算学分。","对 | 错","对"
"未经批准留宿异性宿舍，会给予纪律处分。","对 | 错","对"
"辅修学士学位会打印独立的学位证书。","对 | 错","错"
"福州大学本科生每学期修读课程学分一般不宜低于15学分，也不宜超过()学分。","20 | 25 | 30 | 35","30"
"学生参加考试，迟到()分钟以上不得进入考场。","30 | 15 | 20 | 10","30"
"在国家考试或社会考试中冒名代替他人考试、由他人冒名代替参加考试的，给予()处分。","留校察看 | 开除学籍 | 记过 | 严重警告","开除学籍"
"学生申诉处理委员会接到申诉后，应在()内作出复查结论。","10日 | 15日 | 20日 | 30日","15日"
"学生在学期间只能转（）次专业（包括进入转专业公示名单者）。","一 | 二 | 三 | 四","一"
"学生休学累计时间不得超过（）。","一年 | 两年 | 三年 | 四年","两年"
"学生每学期修读课程学分一般不宜低于（）。","10学分 | 15学分 | 20学分 | 30学分","15学分"
"学生综合素质评价每学期评价一次，于新学期开学之日起（）个自然日内完成。","15 | 20 | 30 | 45","30"
"学生休学中断学习时间累计不得超过（）。","1年 | 2年 | 3年 | 4年","2年"
"学生申诉处理委员会应在接到书面申诉之日起（）日内作出复查结论。","10 | 15 | 20 | 30","15"
"经批准退宿的学生，（）内不得提出重新住宿申请。","半年 | 一年 | 两年 | 一学期","一年"
"四年制本科学生在校最长修业年限为（）。","四年 | 五年 | 六年 | 八年","六年"
"福州大学本科生转专业，学生在校期间最多可以转（）次专业","1 | 2 | 3 | 不限","1"
"属于学术不端行为的有（）。","学位论文抄袭 | 伪造实验数据 | 买卖毕业论文 | 正常引用标注文献","学位论文抄袭 | 伪造实验数据 | 买卖毕业论文"
"下面哪些行为属于宿舍违纪行为（）。","私拉电线 | 留宿非本宿舍成员 | 宿舍内使用违规电器 | 保持宿舍卫生整洁","私拉电线 | 留宿非本宿舍成员 | 宿舍内使用违规电器"
"下面哪些属于劳育素质测评评价依据（）。","宿舍卫生评价 | 志愿服务时长 | 劳动实践活动 | 专业课考试成绩","宿舍卫生评价 | 志愿服务时长 | 劳动实践活动"
"在评定学期中有下列哪些情况的，不具备获得各类奖学金的资格？()","所修习的课程（除任意选修课外）有不及格的 | 休学或保留学籍的 | 学习成绩一般的 | 违反校纪校规，受到警告以上处分，在处分期限内的","所修习的课程（除任意选修课外）有不及格的 | 休学或保留学籍的 | 违反校纪校规，受到警告以上处分，在处分期限内的"
"关于学生申诉，下列说法正确的有()","学生申诉处理委员会在申诉受理决定之日起15日内作出复查结论 | 申诉人对复查决定有异议的，可在接到复查决定书之日起15日内向省教育行政部门提出书面申诉 | 学生对学校的处理或者处分决定不服的，可以提出申诉 | 申诉必须由家长代为提出","学生申诉处理委员会在申诉受理决定之日起15日内作出复查结论 | 申诉人对复查决定有异议的，可在接到复查决定书之日起15日内向省教育行政部门提出书面申诉 | 学生对学校的处理或者处分决定不服的，可以提出申诉"
"学生在校期间依法履行下列哪些义务？","遵守宪法和法律、法规 | 遵守学校章程和规章制度 | 恪守学术道德，完成规定学业 | 按规定缴纳学费及有关费用，履行获得贷学金及助学金的相应义务","恪守学术道德，完成规定学业 | 按规定缴纳学费及有关费用，履行获得贷学金及助学金的相应义务 | 遵守学校章程和规章制度 | 遵守宪法和法律、法规"
"学生在课程修读过程中，出现以下哪些情况，取消其参加该课程考核资格？","未办理请假等有关手续而缺课的学时数，超过该门课程教学计划时数的1/3 | 未完成课程规定的作业量者 | 缺课的学时数，超过该门课程教学计划时数的1/4 | 迟到两次以上","未办理请假等有关手续而缺课的学时数，超过该门课程教学计划时数的1/3 | 未完成课程规定的作业量者"
"教室借用范围包括以下哪些？","校院级大型学术活动 | 聘请校内外学者专家开展的专业讲座 | 企业为我校学生就业开展的招聘会和宣讲会 | 校院级党校学习活动、校院领导给学生做的思想报告","校院级大型学术活动 | 聘请校内外学者专家开展的专业讲座 | 企业为我校学生就业开展的招聘会和宣讲会 | 校院级党校学习活动、校院领导给学生做的思想报告"
"学生有下列哪些行为，视情节轻重给予处分？","吸毒者 | 参与走私、贩私等非法活动者 | 在宿舍内私拉电线、使用违规电器者 | 在学生宿舍及其它禁烟区吸烟，经批评教育不改者 | 酗酒（醉酒）造成不良影响者 | 在宿舍内阅读课外书籍的","吸毒者 | 参与走私、贩私等非法活动者 | 在宿舍内私拉电线、使用违规电器者 | 在学生宿舍及其它禁烟区吸烟，经批评教育不改者 | 酗酒（醉酒）造成不良影响者"
"根据《福州大学学生住宿管理办法》，以下哪些行为是禁止的？","擅自调换、私占、出借、出租、转让床位 | 留宿非本宿舍成员 | 私拉电线、使用违规电器 | 宿舍内饲养宠物 | 高空抛物 | 在宿舍内正常使用台灯学习","擅自调换、私占、出借、出租、转让床位 | 留宿非本宿舍成员 | 私拉电线、使用违规电器 | 宿舍内饲养宠物 | 高空抛物"
"博士学位授予条件包括（）。","在本学科或者专业领域掌握坚实全面的基础理论和系统深入的专门知识 | 学术学位申请人应当具有独立从事学术研究工作的能力 | 学术学位申请人应当在学术研究领域做出创新性成果 | 只需修满学分即可，无需通过学位论文答辩","学术学位申请人应当具有独立从事学术研究工作的能力 | 学术学位申请人应当在学术研究领域做出创新性成果 | 在本学科或者专业领域掌握坚实全面的基础理论和系统深入的专门知识"
"校级奖学金项目包括（）。","优秀学生综合奖学金 | 文化科技创新创业奖学金 | 单项奖学金 | 国家励志奖学金","优秀学生综合奖学金 | 文化科技创新创业奖学金 | 单项奖学金"
"在评定学期中有下列情况之一的，不具备获得各类奖学金的资格（）。","违反校纪校规，受到警告以上处分，在处分期限内的 | 休学或保留学籍的 | 所修习的课程（除任意选修课外）有不及格的 | 积极参加志愿服务活动的","违反校纪校规，受到警告以上处分，在处分期限内的 | 休学或保留学籍的 | 所修习的课程（除任意选修课外）有不及格的"
"下列关于学生参加勤工助学时间的说法，正确的有（）。","原则上每周不超过8小时 | 原则上每月不超过40小时 | 原则上每周不超过20小时 | 原则上每月不超过80小时","原则上每周不超过20小时 | 原则上每月不超过40小时"
"除开除学籍外，处分期限内，学生没有新的违纪行为，处分到期自动解除。","对 | 错","对"
"学生一学期旷课三次迟到早退折算旷课1学时。","对 | 错","对"
"学生团体邀请校外人员来校举办讲座，不需要学校批准。","对 | 错","错"
"文化科技创新创业奖学金中，每个积分的奖励金额固定为100元/分。","对 | 错","错"
"学生思想品德的考核、鉴定，以个人小结、师生民主评议等形式进行。","对 | 错","对"
"学生同一门课程可以申请多次缓考。","对 | 错","错"
"学生参加校内勤工助学活动，应当优先考虑家庭经济困难的学生。","对 | 错","对"
"学生休学期间，学校保留其宿舍床位。","对 | 错","错"
"新生可以申请保留入学资格，保留入学资格期间具有学籍。","对 | 错","错"
"学生应当按时参加教育教学计划规定的活动。不能按时参加的，应当事先请假并获得批准。","对 | 错","对"
"学生申诉处理委员会经复查，认为做出处理或者处分的事实、依据、程序等存在不当，可以作出建议撤销或变更的复查意见。","对 | 错","对"
"学生在校期间依法享有在校内组织学生团体的权利。","对 | 错","对"
"因故不能按期入学的，应当向学校请假。除因不可抗力等正当事由以外，未请假或者请假逾期的，学校将保留该生一学年学籍。","对 | 错","错"
"学业测评成绩=（平均学分绩点+5）×10。","对 | 错","对"
"学生重修课程，需要按学分缴纳重修学费。","对 | 错","对"
"在考场，携带的通讯设备关机放在指定位置就不会违纪。","对 | 错","错"
"福州大学新生未书面请假或请假逾期者，除因不可抗力等正当事由以外，视为()","取消学籍 | 自动退学 | 放弃入学资格 | 暂缓注册","放弃入学资格"
"学位论文、公开发表的研究成果存在抄袭、篡改、伪造等学术不端行为，情节严重的，或者代写论文、买卖论文的，处以()处分","记大过 | 开除学籍 | 留校察看 | 严重警告","开除学籍"
"勤工助学固定岗位按月计酬，以每月()个工时为计酬基准。","20 | 30 | 40 | 50","40"
"根据《高等学校学生行为准则》，大学生应当“诚实守信，()”。","严于律己 | 服务人民 | 明礼修身 | 强健体魄","严于律己"
"新生入学后，学校应在（）内按照国家招生规定进行复查。","1个月 | 2个月 | 3个月 | 4个月","3个月"
"学生参加创新创业、社会实践等活动以及发表论文、获得专利授权等与专业学习、学业要求相关的经历、成果，可以折算为学分，计入学业成绩。具体办法由（）规定。","教育部 | 省教育厅 | 学校 | 学院","学校"
"新生因故不能按期报到者，请假时间一般不得超过（）。","一周 | 两周 | 一个月 | 三天","两周"
"一学期累计旷课达（）学时以上者，给予留校察看处分。","30 | 35 | 40 | 50","40"
"未办理退选手续而无故不参加课程学习和考核者，该课程成绩记录为“（）”。","重修 | 无考试记录 | 违纪 | 缺考","缺考"
"学生申诉处理委员会接到书面申诉，一般应当在（）日内作出复查结论","10 | 15 | 20 | 30","15"
"下列属于福州大学校级奖学金项目的有()","国家奖学金 | 文化科技创新创业奖学金 | 单项奖学金 | 优秀学生综合奖学金","文化科技创新创业奖学金 | 单项奖学金 | 优秀学生综合奖学金"
"学生在校期间依法享有下列哪些权利？","参加学校教育教学计划安排的各项活动 | 申请奖学金、助学金及助学贷款 | 在校内组织、参加学生团体，参与学校管理 | 对学校给予的处理或处分提出申诉","参加学校教育教学计划安排的各项活动 | 在校内组织、参加学生团体，参与学校管理 | 对学校给予的处理或处分提出申诉 | 申请奖学金、助学金及助学贷款"
"学生有下列哪些情形之一，校学位评定委员会可撤销其已获得的学士学位？","学位论文、毕业设计或者实践成果被认定为存在代写、剽窃、伪造等学术不端行为 | 盗用、冒用他人身份，顶替他人取得的入学资格，或者以其他非法手段取得入学资格、毕业证书 | 存在依法不应当授予学位的其他严重违法行为","学位论文、毕业设计或者实践成果被认定为存在代写、剽窃、伪造等学术不端行为 | 盗用、冒用他人身份，顶替他人取得的入学资格，或者以其他非法手段取得入学资格、毕业证书 | 存在依法不应当授予学位的其他严重违法行为"
"选课分为哪几个阶段？","正常选课 | 补退选课 | 重新学习选课","正常选课 | 补退选课 | 重新学习选课"
"勤工助学岗位按照岗位性质可分为（）。","固定岗位 | 临时岗位 | 项目型岗位","固定岗位 | 临时岗位 | 项目型岗位"
"以下哪些考试违规行为给予记过处分（）。","在考试中旁窥、交头接耳、打暗号或者手势的 | 携带手机等通讯设备参加考试的 | 在答卷上填写与本人身份不符的姓名、考号等信息的 | 携带规定以外的物品进入考场，未按要求放在指定位置的","在考试中旁窥、交头接耳、打暗号或者手势的 | 携带手机等通讯设备参加考试的 | 在答卷上填写与本人身份不符的姓名、考号等信息的"
"学生宿舍内严禁以下哪些行为（）。","私拉电线 | 使用违规电器 | 饲养宠物 | 使用台灯照明学习","私拉电线 | 使用违规电器 | 饲养宠物"
"学生进入考场后，凡未经监考人员事先允许带进的（）等，应集中放在监考教师指定的地方。","有关教材 | 参考资料 | 练习本 | 纸张","有关教材 | 参考资料 | 练习本 | 纸张"
"学生有下列情形之一的，不得转专业（）。","定向生、高水平运动队 | 中外合作办学、闽台高校联合培养人才项目的学生 | 本科四年级（含）以上学生 | 休学创业后复学的学生","定向生、高水平运动队 | 中外合作办学、闽台高校联合培养人才项目的学生 | 本科四年级（含）以上学生"
"下列属于学生宿舍违规行为的有（）。","私拉电线 | 在宿舍内使用明火 | 在宿舍内饲养宠物 | 将电动车电池带入公寓楼内充电","在宿舍内使用明火 | 在宿舍内饲养宠物 | 将电动车电池带入公寓楼内充电 | 私拉电线"
"《普通高等学校学生管理规定》自2017年9月1日起施行。","对 | 错","对"
"在校学生应征参加中国人民解放军，学校可保留其学籍至退役后2年。","对 | 错","对"
"根据《福州大学学生住宿管理办法》，学生可以按照自己的意愿随意调换宿舍床位。","对 | 错","错"
"根据《福州大学学生住宿管理办法》，每学期最后一个月为退宿集中办理期，可以办理下一学期的退宿手续。","对 | 错","对"
"参加同一竞赛不同级别或分区赛事获奖的，可以累计获得奖励。","对 | 错","错"
"学生应当拥护中国共产党领导，努力学习马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观、习近平新时代中国特色社会主义思想。","对 | 错","对"
"学生选课时，若所选课程上课时间冲突，可以同时选修所有冲突课程。","对 | 错","错"
"休学学生应当办理手续离校。学生休学期间，学校应为其保留学籍，但不享受在校学习学生待遇。","对 | 错","对"
"同一学年内，获得国家奖学金的家庭经济困难学生可以同时申请并获得国家助学金。","对 | 错","对"
"辅修专业学士学位单独发放学位证书。","对 | 错","错"
"具有福州大学正式学籍的学生，修业年限期满时，已修读本专业培养方案规定的应修学分的()者，按结业处理。","70% | 80% | 90% | 60%","70%"
"学生对复查决定有异议的，可以在接到学校复查决定书之日起()内，向省级教育行政部门提出书面申诉。","10日 | 15日 | 30日 | 60日","15日"
"学生对复查决定有异议的，在接到学校复查决定书之日起（）日内，可以向省级教育行政部门提出书面申诉。","10 | 15 | 20 | 30","15"
"学生宿舍中，以下哪种电器属于可正常使用的准入电器（）。","电热锅 | 电磁炉 | 电水壶 | 暖手宝","电水壶"
"留校察看处分的察看期为（）个月。","6 | 9 | 12 | 18","12"
"学生休学中断学习时间以一学年或者一学期为期，累计休学时间不得超过()年。","4 | 3 | 2 | 1","2"
"申诉人对复查决定有异议的，可以在接到学校复查决定书之日起（）内向省教育行政部门提出书面申诉。","10日 | 15日 | 20日 | 30日","15日"
"本科新生因疾病申请保留入学资格，可保留入学资格（）","仅 1 年 | 1‑2 年 | 2‑3 年 | 最多 3 年","1‑2 年"
"除开除学籍外，学校给予学生处分一般设置（）个月期限","3‑6 | 6‑12 | 12‑18 | 18‑24","6‑12"
"福州大学纪律处分的种类包含（）。","警告 | 严重警告 | 记过、留校察看 | 开除学籍","警告 | 严重警告 | 记过、留校察看 | 开除学籍"
"根据《福州大学学生管理规定》，学生有下列哪些考试违规行为，给予记过处分？","在考试中旁窥、交头接耳 | 携带手机参加考试 | 在答卷上填写与本人身份不符的姓名 | 故意销毁试卷","在考试中旁窥、交头接耳 | 携带手机参加考试 | 在答卷上填写与本人身份不符的姓名 | 故意销毁试卷"
"学生有下列哪些情形之一，予以退学？","第三次被学校书面退学劝告者 | 接受学校退学劝告者 | 学生在休学、保留学籍期满后两周内不办理复学申请手续或者申请复学经复查不合格者 | 经学校指定二级甲等以上医院诊断，患有疾病或者意外伤残无法继续在校学习者","第三次被学校书面退学劝告者 | 接受学校退学劝告者 | 学生在休学、保留学籍期满后两周内不办理复学申请手续或者申请复学经复查不合格者 | 经学校指定二级甲等以上医院诊断，患有疾病或者意外伤残无法继续在校学习者"
"申请国家奖学金的学生，在符合基本条件的前提下，还应满足以下哪些具体条件？","学习成绩排名与综合测评成绩排名均位于前10%（含10%），参评学年没有不及格科目 | 至少一学期获一等奖学金 | 参评学年获得校级及以上综合类荣誉称号至少1次","学习成绩排名与综合测评成绩排名均位于前10%（含10%），参评学年没有不及格科目 | 至少一学期获一等奖学金 | 参评学年获得校级及以上综合类荣誉称号至少1次"
"根据《福州大学本科生转专业管理实施办法》，学生有下列哪些情形之一的，不得转专业？","国家有相关规定或者录取前与学校有明确约定的 | 定向生、高水平运动队 | 中外合作办学、闽台高校联合培养人才项目的学生 | 本科四年级（含）以上学生 | 保留入学资格、保留学籍、休学期间的 | 本科一年级学生","国家有相关规定或者录取前与学校有明确约定的 | 定向生、高水平运动队 | 中外合作办学、闽台高校联合培养人才项目的学生 | 本科四年级（含）以上学生 | 保留入学资格、保留学籍、休学期间的"
"学生不得利用网络制作、复制、查阅和传播下列（）信息，违者视情节轻重给予记过、留校察看或开除学籍处分。","煽动抗拒、破坏宪法和法律、法规实施的 | 煽动分裂国家、破坏国家统一的 | 捏造或者歪曲事实，散布谣言，损害国家机关声誉或扰乱社会秩序的 | 煽动民族仇恨、民族歧视，破坏民族团结的","煽动抗拒、破坏宪法和法律、法规实施的 | 煽动分裂国家、破坏国家统一的 | 捏造或者歪曲事实，散布谣言，损害国家机关声誉或扰乱社会秩序的 | 煽动民族仇恨、民族歧视，破坏民族团结的"
"学生申诉处理委员会委员由（）等相关负责人及法律顾问、教师代表、学生代表组成。","学生工作部（处） | 教务处 | 研究生院 | 申诉人本人","学生工作部（处） | 教务处 | 研究生院"
"综合素质评价里面，五育素质测评每一项包含（）","基础性测评 70 分 | 发展性测评 30 分 | 基础性测评 50 分 | 发展性测评 50 分","基础性测评 70 分 | 发展性测评 30 分"
"学校坚持教育与宗教相分离，校园内不允许进行宗教活动。","对 | 错","对"
"国家奖学金同一学年可以同时获得国家励志奖学金。","对 | 错","错"
"福州大学本科生每学期修读课程学分一般不宜低于15学分，也不宜超过30学分。","对 | 错","对"
"学生通过补考后所获得的及格以上成绩，其成绩绩点均记为1。","对 | 错","对"
"根据《福州大学学生管理规定》，学生不得有酗酒、打架斗殴、赌博、吸毒等违法行为。","对 | 错","对"
"提前修满专业培养方案规定应修学分且符合毕业规定的学生，可以申请提前毕业。","对 | 错","对"
"住宿生未经批准，私自在校外租房住，给予记过处分。","对 | 错","对"
"对于在校学习期间或在修业年限内曾受“记过”及以上处分者，在处分未解除期间，学校不授予学士学位。","对 | 错","对"
"无正当理由22：30后未返回宿舍视为迟归，23：00后仍未回宿舍视为夜不归宿。","对 | 错","对"
"打架斗殴，没有动手，只是言语挑衅，不会收到处分。","对 | 错","错"
"除开除学籍处分以外，给予学生处分一般应当设置()的期限。","6到12个月 | 3到6个月 | 1到3个月 | 12到24个月","6到12个月"
"根据《福州大学学生管理规定》，除开除学籍处分外，给予学生处分一般应当设置()期限。","3到6个月 | 6到12个月 | 12到18个月 | 18到24个月","6到12个月"
"本科学生已修读的必修课中，考核不及格学分累计达到()学分，给予学业危机警告。","10 | 20 | 30 | 40","20"
"学生有下列情形之一，学校可以给予开除学籍处分：代替他人或者让他人代替自己参加考试、组织作弊、使用通讯设备或其他器材作弊、向他人出售考试试题或答案牟取利益，以及其他（）的。","严重作弊或扰乱考试秩序行为 | 作弊行为 | 违规行为 | 违纪行为","严重作弊或扰乱考试秩序行为"
"学生每学期修读课程学分一般不宜低于（）学分。","10 | 15 | 20 | 25","15"
"优秀学生综合奖学金三等奖的金额为每学期（）元。","500 | 800 | 1000 | 1200","500"
"四年制本科学生在校最长修业年限为（）。","五年 | 六年 | 七年 | 八年","六年"
"学生一学期已修读的必修课中，课程考核不及格的学分数累计超过（）学分，由学院劝其退学。","10 | 15 | 20 | 25","15"
"同一门课程只能申请缓考一次，一学期一般只能申请缓考（）门课程，补考不能申请缓考。","4 | 3 | 2 | 1","2"
"除开除学籍处分以外，给予学生处分一般应设置（）期限。","3到6个月 | 6到12个月 | 6到18个月 | 12到24个月","6到12个月"
"考场规则要求，进入考场学生禁止携带（）。","手机 | 其他电子通讯设备 | 学生证 | 准考证","手机 | 其他电子通讯设备"
"根据《福州大学学生管理规定》，学生有下列哪些行为之一，学校可以给予开除学籍处分？","违反宪法，反对四项基本原则、破坏安定团结、扰乱社会秩序的 | 触犯国家法律，构成刑事犯罪的 | 学位论文、公开发表的研究成果存在抄袭、篡改、伪造等学术不端行为，情节严重的 | 屡次违反学校规定受到纪律处分，经教育不改的","违反宪法，反对四项基本原则、破坏安定团结、扰乱社会秩序的 | 触犯国家法律，构成刑事犯罪的 | 学位论文、公开发表的研究成果存在抄袭、篡改、伪造等学术不端行为，情节严重的 | 屡次违反学校规定受到纪律处分，经教育不改的"
